klacht,beschrijving
Candida albicans,"Een schimmelinfectie veroorzaakt door de gist Candida, die overgroeit in de darmen, mond of vagina."
Carpaal Tunnel Syndroom,"Zenuwbeknelling in de pols waardoor pijn, tintelingen of gevoelloosheid in hand en vingers ontstaat."
Cellulitis,"Ophoping van vetcellen en vocht onder de huid, vaak zichtbaar als putjes of bobbeltjes (sinaasappelhuid)."
Cholesterol (te hoog),"Een verhoogd gehalte aan vetachtige stoffen in het bloed, wat kan leiden tot hart- en vaatziekten."
Colitis ulcerosa,"Chronische ontsteking van de dikke darm die zweren en buikklachten veroorzaakt, soms gepaard met diarree en bloedverlies."
Concentratiezwakte,"Verminderd vermogen om aandacht te houden bij een taak, vaak door stress, vermoeidheid of prikkelgevoeligheid."
Covid-19,"Besmettelijke ziekte veroorzaakt door het coronavirus SARS-CoV-2, met symptomen als koorts, hoest en vermoeidheid."
Crohn (ziekte van),"Chronische ontstekingsziekte van het maag-darmkanaal die buikpijn, diarree en gewichtsverlies veroorzaakt."
Darmmicrobioom (herstel),Het ondersteunen of herstellen van een gezonde balans tussen goede en slechte bacteriën in de darmflora.
Darmkrampen,Plotselinge samentrekkingen van de darmspieren die pijn en ongemak in de buik veroorzaken.
Darmparasieten,"Ongenode organismen in het spijsverteringskanaal zoals wormen of protozoa, die klachten veroorzaken zoals diarree of buikpijn."
Darmperistaltiek (verminderd),Vertraagde beweging van de darmwand die de spijsvertering kan verstoren en constipatie kan veroorzaken.
Dauwworm,"Huiduitslag bij babys of jonge kinderen, meestal op het gezicht, vaak veroorzaakt door atopisch eczeem."
Dementie,"Aandoening waarbij cognitieve functies zoals geheugen, taal en oriëntatie achteruitgaan, vaak progressief zoals bij Alzheimer."
Depressiviteit,"Langdurige sombere stemming, verlies van interesse en energie, vaak gepaard met slaapproblemen en negatieve gedachten."
Detox,"Het ondersteunen van de afvoer van afvalstoffen uit het lichaam, vaak via lever, nieren en darmen."
Diabetes,Chronische stofwisselingsziekte waarbij het lichaam onvoldoende insuline aanmaakt of niet goed reageert op insuline.
Diabetes type 2,"De meest voorkomende vorm van diabetes waarbij de lichaamscellen ongevoelig zijn voor insuline, vaak door leefstijl beïnvloedbaar."
Diarree,"Waterige, frequente ontlasting, vaak veroorzaakt door infecties, voedselintolerantie of darmstoornissen."
Dikke enkels,"Ophoping van vocht of ontsteking rond de enkels, vaak als gevolg van slechte doorbloeding of hartproblemen."
Doorbloedingsstoornissen,"Belemmerde bloedstroom in het lichaam, wat kan leiden tot koude ledematen, krampen of hartproblemen."
Doorslaapproblemen,"Moeite met het in slaap blijven gedurende de nacht, vaak gerelateerd aan stress, angst of hormonale disbalans."
Droge huid,"Een huidconditie waarbij de huid ruw, schilferig of trekkerig aanvoelt, meestal door vochttekort of eczeem."
Droogtrainen,"Het verminderen van vetpercentage met behoud van spiermassa, vaak toegepast in bodybuilding."
Duizeligheid,"Gevoel van draaierigheid of instabiliteit, soms gepaard met misselijkheid of flauwvallen."
Dyslexie,Leerstoornis waarbij het moeilijk is om woorden correct te lezen of te spellen ondanks normale intelligentie.
Dyspraxie,Motorische ontwikkelingsstoornis waarbij het plannen en uitvoeren van bewegingen moeizaam verloopt.
Eczeem,"Chronische huidontsteking met jeuk, roodheid en schilfers, vaak verergerd door allergie of stress."
Eetlustopwekkend,"Stimuleren van het hongergevoel, vooral bij mensen met verminderde eetlust door ziekte of behandeling."
Emoties,"Innerlijke gemoedstoestanden zoals verdriet, boosheid of blijdschap die invloed hebben op lichamelijk en geestelijk welzijn."
Energietekort,"Een gebrek aan fysieke of mentale energie, vaak door slechte voeding, slaaptekort of onderliggende ziekte."
Epilepsie,Neurologische aandoening gekenmerkt door aanvallen van tijdelijke stoornissen in de hersenactiviteit (epileptische aanvallen).
Erectiestoornis,Het onvermogen om een erectie te krijgen of behouden die voldoende is voor geslachtsgemeenschap.
Examenvrees,Overmatige angst voor examens of prestatiedruk die leidt tot blokkades of stresssymptomen.
Evenwichtsstoornis,"Moeite met balans en coördinatie, vaak als gevolg van problemen in het binnenoor of zenuwstelsel."
Fibromyalgie,"Chronisch pijnsyndroom met spierpijn, vermoeidheid, slaapstoornissen en concentratieproblemen."
Frigiditeit,"Verminderde zin in seks of het onvermogen om seksuele opwinding of orgasme te ervaren, vaak bij vrouwen."
Futloos,"Een gevoel van energiegebrek, moeheid en gebrek aan motivatie, zonder duidelijke oorzaak."
Galblaasproblemen,"Stoornissen in de werking van de galblaas, zoals ontsteking of galstenen, vaak met pijn in de rechterbovenbuik."
Galstenen,"Verharde afzettingen van galzouten in de galblaas, die pijn en spijsverteringsproblemen kunnen veroorzaken."
Geelzucht,"Geelverkleuring van huid en ogen door een verhoogd bilirubinegehalte, meestal bij lever- of galproblemen."
Geheugenzwakte,"Verminderde mogelijkheid om informatie te onthouden of op te halen, vaak bij stress, ouderdom of neurologische aandoeningen."
Gespannen borsten,"Pijnlijke of gevoelige borsten, meestal door hormonale veranderingen rond menstruatie of zwangerschap."
Gewichtstoename,"Toename van lichaamsgewicht, vaak door ongezonde voeding, hormonale schommelingen of weinig beweging."
Gewrichtsontstekingen,"Ontstekingsreacties in de gewrichten met roodheid, zwelling en pijn, zoals bij artritis."
Gewrichtspijn,"Pijn in een of meerdere gewrichten door slijtage, ontsteking of overbelasting."
Gewrichtsslijtage,"Degeneratie van het kraakbeen in gewrichten (artrose), met stijfheid en bewegingsbeperking."
Gordelroos,"Virale infectie veroorzaakt door het waterpokkenvirus, met pijnlijke blaasjes op de huid in een bandvormig patroon."
Griep,"Virale infectie van de luchtwegen met koorts, spierpijn, vermoeidheid en hoest."
Groei (kinderen),"Ondersteuning van gezonde groei en ontwikkeling bij kinderen, bijvoorbeeld bij achterblijvende lengte of eetlust."
Haarproblemen (uitval,"Verzwakking of verlies van haar door stress, voeding, hormonale veranderingen of medische behandeling."
Hart- en vaatziekten (preventie),Voorkomen van ziekten zoals hartinfarct of beroerte door gezonde levensstijl en natuurlijke ondersteuning.
Hartkloppingen,"Snelle of onregelmatige hartslag, voelbaar in de borst of keel, soms door stress of hormonale veranderingen."
Hartritmestoornissen,"Afwijkingen in het normale ritme van het hart, wat kan leiden tot duizeligheid, hartkloppingen of flauwvallen."
Herpes simplex,"Virale infectie die blaasjes veroorzaakt op lippen (koortslip) of geslachtsdelen, vaak terugkerend."
Libido (verhoogt),"Ondersteuning van het seksueel verlangen, bij zowel mannen als vrouwen."
Luieruitslag,"Irritatie of roodheid van de huid in de luierstreek, vaak veroorzaakt door vocht, wrijving of urine."
Lyme (ziekte van),"Infectie veroorzaakt door een tekenbeet met de Borrelia-bacterie, met symptomen als huiduitslag, vermoeidheid en gewrichtspijn."
Maagkramp,"Plotselinge pijnlijke samentrekkingen van de maagspieren, vaak door stress, voeding of irritatie van het maagslijmvlies."
Maagpijn,"Pijn of ongemak in de bovenbuik, vaak veroorzaakt door maagzuur, ontsteking of verkeerde voeding."
Maagzuur,Brandend gevoel in de borst door terugvloei van maagzuur naar de slokdarm (reflux).
Mee-eters,"Zwarte of witte verstopte poriën op de huid, meestal in het gezicht, veroorzaakt door overmatige talgproductie."
Menopauze,"Overgangsfase waarin de menstruatie stopt, vaak gepaard met opvliegers, stemmingswisselingen en slaapproblemen."
Menstruatieklachten,"Klachten zoals krampen, hoofdpijn en prikkelbaarheid rondom de menstruatiecyclus."
Menstruatiepijn,"Buik- of bekkenpijn tijdens de menstruatie, meestal veroorzaakt door samentrekkingen van de baarmoeder."
Migraine,"Ernstige, vaak eenzijdige hoofdpijn die gepaard kan gaan met misselijkheid, lichtgevoeligheid en visuele verstoringen."
Misselijkheid,"Onprettig gevoel in de maag met de aandrang om te braken, vaak bij infecties of reisziekte."
Misselijkheid (chemokuur),Specifieke vorm van misselijkheid veroorzaakt door medicatie tijdens chemotherapie.
Mondflora problemen,"Onevenwicht in de bacteriële balans van de mond, met klachten zoals slechte adem, aften of ontstekingen."
Muisarm (RSI),"Repetitive Strain Injury door langdurig herhaaldelijk gebruik van arm, pols of hand  vaak bij computerwerk."
Nachtblindheid,"Slecht zien in het donker of bij weinig licht, vaak door tekort aan vitamine A of netvliesproblemen."
Nachtelijk ontwaken,"Het regelmatig wakker worden tijdens de nacht, waardoor de slaapkwaliteit afneemt."
Nachtelijk transpireren,"Overmatig zweten tijdens de slaap, soms gerelateerd aan hormonen of infecties."
Nachtmerries,Beangstigende of onrustige dromen die leiden tot vroegtijdig ontwaken of angstgevoelens.
Nagels (zwak),"Breekbare of gespleten nagels, vaak als gevolg van voedingstekorten of externe schade."
Neerslachtigheid,"Langdurig somber of verdrietig gevoel, vaak zonder duidelijke oorzaak."
Nervositeit,"Gevoel van innerlijke onrust, spanning of angst in reactie op stressvolle situaties."
Neusverkoudheid,"Ontsteking van het neusslijmvlies met symptomen als verstopte neus, niezen en loopneus."
Nierstenen,Vast materiaal gevormd in de nieren dat pijn kan veroorzaken bij het plassen of in de onderrug.
Obesitas,"Ernstig overgewicht met een verhoogd risico op hartziekten, diabetes en gewrichtsklachten."
Obstipatie,"Vertraagde of moeilijke stoelgang, vaak veroorzaakt door voeding, weinig beweging of medicatie."
Oedeem,"Vochtophoping in weefsels, zichtbaar als zwelling, meestal in benen, enkels of handen."
Ogen (droog),"Verminderde traanproductie of slechte traanfilm, wat leidt tot een branderig of zanderig gevoel in de ogen."
Ontgiften,"Het ondersteunen van de natuurlijke afvoer van toxines uit het lichaam via lever, nieren en huid."
Ontgiften (na antibioticakuur),Herstel van darmflora en ondersteuning van leverfunctie na antibioticagebruik.
Ontstekingen,"Reactie van het lichaam op schade of infectie met symptomen als roodheid, zwelling en pijn."
Oogklachten,"Algemene klachten zoals branderige, vermoeide of tranende ogen door allergie, droogte of infecties."
Oorsuizen,"Perceptie van geluid (zoals suizen of piepen) zonder externe bron, ook wel tinnitus genoemd."
Opgeblazen gevoel,"Gevoel van druk of volheid in de buik, vaak veroorzaakt door gasvorming of langzame spijsvertering."
Opgroeiende kinderen,Fase van fysieke en mentale ontwikkeling waarbij goede voeding en ondersteuning cruciaal zijn.
Opspringen,"Plotselinge spiercontracties of ongecontroleerde bewegingen, soms gerelateerd aan stress of reflexen."
Opvliegers,"Plotselinge warmteaanvallen met roodheid en zweten, vaak tijdens de menopauze."
Osteoporose,"Afname van botdichtheid, waardoor botten broos worden en makkelijker breken."
Overactiviteit (bij kinderen),"Moeite met stilzitten of concentreren, vaak gezien bij ADHD of prikkelgevoeligheid."
Overgangsklachten,"Fysieke en mentale symptomen die optreden tijdens de menopauze, zoals stemmingswisselingen en slapeloosheid."
Overgeven,"Het krachtig legen van de maag via de mond, vaak als reactie op misselijkheid, infectie of vergiftiging."
Overgewicht,"Hoger lichaamsgewicht dan gezond is voor lengte en leeftijd, met risico op metabole aandoeningen."
Parodontitis,"Ontsteking van het tandvlees en kaakbot, vaak leidend tot terugtrekkend tandvlees en tandverlies."
Peesontsteking,"Ontsteking van een pees, meestal veroorzaakt door overbelasting of herhaalde bewegingen."
Pfeiffer (ziekte van),"Virale infectie (Epstein-Barr-virus) met symptomen zoals vermoeidheid, koorts en opgezette klieren."
Plankenkoorts,"Angst of spanning om voor een publiek te spreken of op te treden, ook bekend als podiumvrees."
Plasproblemen,"Moeite met plassen, vaak in de vorm van pijn, aandrang of een zwakke straal."
Premenstrueel syndroom (PMS),"Klachten zoals prikkelbaarheid, buikpijn en vermoeidheid voorafgaand aan de menstruatie."
Prestatieverbetering (lichamelijk en geestelijk),"Verbeteren van fysieke of mentale prestaties, bijvoorbeeld bij sporters of studenten."
Prestatievermindering,"Afname van energie, concentratie of fysieke kracht, vaak bij stress, burn-out of ziekte."
Prikkelbaar Darm Syndroom,"Chronische darmstoornis met symptomen als buikpijn, krampen, winderigheid en wisselende stoelgang."
Prikkelbaarheid,"Gemakkelijk geïrriteerd of gespannen reageren op situaties, vaak door vermoeidheid of hormonale schommelingen."
Prostaatvergroting,"Vergroting van de prostaatklier bij mannen, wat kan leiden tot plasproblemen."
Psoriasis,"Chronische huidziekte met rode, schilferige plekken, vaak op ellebogen, knieën en hoofdhuid."
Reiniging,"Ondersteunen van de interne reiniging van organen zoals lever, darmen en huid."
Reiziekte,"Misselijkheid, duizeligheid en zweten veroorzaakt door beweging tijdens reizen met auto, boot of vliegtuig."
Reuma,"Verzamelnaam voor ontstekingsziekten van gewrichten, vaak met pijn, zwelling en stijfheid."
Rimpels,"Lijntjes of plooien in de huid door veroudering, zonneschade of verminderde collageenproductie."
Rugpijn,"Pijn in de onder-, midden- of bovenrug, veroorzaakt door overbelasting, stress of slechte houding."
Schimmelinfecties (Candida albicans),"Infecties veroorzaakt door gistachtige schimmel, vaak in huidplooien, mond of intieme zone."
Seksueel onvermogen,"Moeite met seksueel functioneren, zoals erectiestoornis of gebrek aan libido."
Sinaasappelhuid,Populaire benaming voor cellulitis: bobbelige huidstructuur door vet- en vochtophoping.
Sinusitis,"Ontsteking van de bijholtes, vaak gepaard met hoofdpijn, druk in het gezicht en verstopte neus."
Slaapproblemen,"Moeite met in slaap vallen of doorslapen, wat leidt tot vermoeidheid overdag."
Slapeloosheid,"Langdurige moeite met slapen, vaak veroorzaakt door stress, piekeren of hormonale veranderingen."
Slechte adem,"Onaangename geur uit de mond, meestal veroorzaakt door bacteriën op de tong of in het tandvlees."
Slijmbeursontsteking,"Ontsteking van een slijmbeurs (bursa), vaak in schouder, elleboog of heup, met zwelling en pijn."
Snoepzucht,"Sterke behoefte aan zoetigheid, vaak als gevolg van bloedsuikerschommelingen of emotioneel eten."
Sombere stemmingen,"Tijdelijke of aanhoudende gevoelens van verdriet of negativiteit, zonder duidelijke oorzaak."
Spanningshoofdpijn,"Hoofdpijn door spierspanning of stress, meestal voelbaar als een drukkende band om het hoofd."
Spermavorming (gering),"Verminderde productie of kwaliteit van zaadcellen, met mogelijke invloed op vruchtbaarheid."
Spierpijn,"Pijnlijke spieren na inspanning, overbelasting of ontsteking."
Spiermassa (vergroten),"Het doelgericht vergroten van spieromvang, meestal door training en voeding."
Spit,Acute lage rugpijn als gevolg van een spierverrekking of irritatie van de tussenwervelschijven.
Sportinspanning,Lichamelijke activiteit waarbij het lichaam extra ondersteuning of herstel kan gebruiken.
Spijsverteringsstoornissen,"Verstoorde werking van het spijsverteringskanaal, met klachten als opgeblazen gevoel, misselijkheid of diarree."
Steenpuisten,"Diepe ontstekingen van haarzakjes, meestal veroorzaakt door bacteriën, met pijnlijke rode bulten."
Stemmingswisselingen,"Plotselinge veranderingen in stemming, vaak veroorzaakt door hormonen, stress of psychische klachten."
Stress,"Langdurige spanning of overbelasting, zowel mentaal als fysiek, vaak met uitputtingsklachten."
Stress (kortstondig),"Tijdelijke vorm van spanning of druk, bijvoorbeeld bij deadlines of onverwachte gebeurtenissen."
Stress (oxidatief),"Celbeschadiging door vrije radicalen, vaak in verband met veroudering en chronische ziekten."
Stoelgangproblemen,"Veranderingen in frequentie, structuur of moeite met de ontlasting."
Suikerziekte (ouderdoms),"Type 2 diabetes, waarbij het lichaam minder gevoelig is voor insuline, vaak op latere leeftijd."
Tabaksverslaving (ondersteunend),"Ondersteuning bij het stoppen met roken, gericht op ontwenningsverschijnselen en motivatie."
Tendinitis,"Ontsteking van een pees, vaak in schouder, elleboog of knie, veroorzaakt door overbelasting."
Tennisarm,Pijnlijke aandoening aan de buitenkant van de elleboog door overbelasting van de onderarmspieren.
Tinnitus,"Aanhoudend oorsuizen of piepen zonder externe geluidsbron, vaak als gevolg van gehoorbeschadiging."
Tintelingen in handen en voeten,"Prikkelend of doof gevoel, vaak door beknelde zenuwen of slechte doorbloeding."
Traumaverwerking,"Het verwerken van ingrijpende gebeurtenissen, zowel lichamelijk als emotioneel."
Triglyceridengehalte (te hoog),"Verhoogde vetwaarden in het bloed, wat het risico op hart- en vaatziekten verhoogt."
Uithoudingsvermogen (verminderd),"Verminderde fysieke energie of conditie bij inspanning, vaak bij ziekte of uitputting."
Uitputting,"Gevoel van totale vermoeidheid, zowel mentaal als fysiek, vaak door langdurige stress of ziekte."
Urine (sterk geurend),"Afwijkende geur van urine, mogelijk door infectie, uitdroging of voeding."
Urineproductie (gering),"Verminderde hoeveelheid urine, mogelijk door vochttekort of nierproblemen."
Urineweginfecties,"Ontstekingen van de urinewegen, vaak met pijn bij het plassen en frequente aandrang."
Urineverlies (vrouwen),"Ongewild verlies van urine, vaak door verzwakte bekkenbodemspieren of hormonale veranderingen."
Vaginitis,"Ontsteking van de vagina, met klachten als jeuk, afscheiding en roodheid, vaak door infecties of irritatie."
Vergeetachtigheid,"Moeite om informatie te onthouden of herinneren, soms door stress, vermoeidheid of ouderdom."
Verkoudheid,"Virusinfectie van de bovenste luchtwegen, met symptomen als niezen, loopneus en keelpijn."
Vermagering,"Onbedoeld gewichtsverlies door ziekte, stress of spijsverteringsproblemen."
Vermoeidheid,"Algemeen gevoel van moeheid of gebrek aan energie, zonder directe oorzaak."
Vermoeidheid (chronisch),"Langdurige en aanhoudende moeheid die dagelijkse activiteiten belemmert, vaak zonder duidelijke oorzaak."
Veroudering,Natuurlijke achteruitgang van lichaam en geestelijke functies naarmate men ouder wordt.
Verstoorde darmflora,"Onevenwicht in de darmbacteriën, vaak door antibiotica of slechte voeding."
Verstopping,"Moeizame stoelgang met harde ontlasting, vaak veroorzaakt door vezelarme voeding of te weinig vocht."
Vetophoping (plaatselijk),"Plaatselijke vetophoping op buik, dijen of billen, vaak hormonaal of genetisch bepaald."
Vetverbranding,"Proces waarbij opgeslagen vet als energiebron wordt gebruikt, vaak gestimuleerd door beweging of dieet."
Vitaliteit (verminderd),"Afname van levenslust en energie, vaak bij stress, ziekte of hormonale schommelingen."
Vochtafdrijving,"Stimulatie van de afvoer van overtollig vocht via urine, bij oedeem of hoge bloeddruk."
Voedselvergiftiging,"Plotselinge klachten zoals diarree, misselijkheid en braken door besmet voedsel."
Voetschimmel,"Schimmelinfectie tussen de tenen of op de voetzool, vaak met jeuk, schilfering en geur."
Voorhoofdsholteontsteking,"Ontsteking van de sinussen in het voorhoofd, vaak na een verkoudheid, met drukpijn en verstopte neus."
Vruchtbaarheid (verhoogend),Ondersteuning van het voortplantingssysteem om de kans op zwangerschap te vergroten.
Weerstand (winter),"Verminderde afweer tijdens de koude maanden, met verhoogde vatbaarheid voor verkoudheden en griep."
Windigheid,Overmatige gasvorming in de darmen met winderigheid en een opgeblazen gevoel.
Witte vloed,"Normale of abnormale vaginale afscheiding, afhankelijk van hoeveelheid, kleur en geur."
Zonlicht (gebrek aan),"Tekort aan zonlicht, vaak leidend tot vitamine D-tekort of seizoensgebonden depressie."
Zuur-base evenwicht,"Balans tussen zuren en basen in het lichaam, essentieel voor een goede stofwisseling."
Zwaarlijvigheid,"Ernstige vorm van overgewicht, met verhoogd risico op hart- en vaatziekten, diabetes en gewrichtsklachten."
Zwangerschapsbraken,"Misselijkheid en braken in de eerste maanden van de zwangerschap, ook bekend als ochtendmisselijkheid."
Zwangerschapsstriemen,"Huidstriemen door snelle uitrekking tijdens de zwangerschap, vaak op buik, heupen of borsten."
Zweetvoeten,"Overmatige transpiratie aan de voeten, vaak met geur en schimmelvorming."
